Model,Hypothetical_Outcome_Prevalence,Sensitivity_From_Existing_Test_Set,Specificity_From_Existing_Test_Set,Expected_TP_per_1000,Expected_FP_per_1000,Expected_FN_per_1000,Expected_TN_per_1000,Expected_Predicted_Positive_per_1000,Scenario_PPV,Scenario_NPV
M2-Balanced,0.1,0.8215545210890112,0.6873419604343299,82.15545210890113,281.39223560910307,17.844547891098884,618.6077643908969,363.5476877180042,0.22598260113987376,0.9719624745691986
M2-Balanced,0.15,0.8215545210890112,0.6873419604343299,123.23317816335167,265.7593336308195,26.766821836648322,584.2406663691805,388.9925117941712,0.316800900857851,0.9561923178466326
M2-Balanced,0.2,0.8215545210890112,0.6873419604343299,164.31090421780226,250.12643165253607,35.68909578219777,549.8735683474639,414.4373358703383,0.3964674270302927,0.9390516199743651
M2-Balanced,0.3,0.8215545210890112,0.6873419604343299,246.46635632670333,218.86062769596904,53.533643673296645,481.1393723040309,465.3269840226724,0.5296627206014225,0.8998759202847695
M2-Balanced,0.5,0.8215545210890112,0.6873419604343299,410.77726054450557,156.32901978283502,89.22273945549442,343.670980217165,567.1062803273405,0.724339113838415,0.7938922756306979
M2-High,0.05,0.8250811115813231,0.6793098319202737,41.25405557906616,304.6556596757399,8.745944420933844,645.34434032426,345.9097152548061,0.11926249469078182,0.9866288421875263
M2-High,0.1,0.8250811115813231,0.6793098319202737,82.50811115813232,288.62115127175366,17.491888841867688,611.3788487282463,371.129262429886,0.22231637197759316,0.972185239673491
M2-High,0.15,0.8250811115813231,0.6793098319202737,123.76216673719846,272.58664286776735,26.23783326280153,577.4133571322326,396.3488096049658,0.3122556791845802,0.9565347775664432
M2-High,0.2,0.8250811115813231,0.6793098319202737,165.01622231626465,256.55213446378104,34.983777683735376,543.4478655362191,421.5683567800457,0.3914340810032909,0.9395195990852242
M2-High,0.3,0.8250811115813231,0.6793098319202737,247.5243334743969,224.4831176558084,52.47566652560306,475.5168823441916,472.0074511302053,0.5244076822976175,0.9006128653937808
M2-High,0.5,0.8250811115813231,0.6793098319202737,412.5405557906616,160.34508403986314,87.45944420933843,339.65491596013686,572.8856398305247,0.7201097865059114,0.7952317871620255
M3-Mild,0.05,0.8149245309634645,0.6956715751896475,40.746226548173226,289.1120035698348,9.253773451826776,660.887996430165,329.85823011800807,0.12352648146325197,0.9861913197061924
M3-Mild,0.1,0.8149245309634645,0.6956715751896475,81.49245309634645,273.8955823293173,18.50754690365355,626.1044176706828,355.3880354256637,0.22930556173265484,0.9712888560548596
M3-Mild,0.15,0.8149245309634645,0.6956715751896475,122.23867964451968,258.6791610887996,27.761320355480322,591.3208389112003,380.9178407333193,0.32090562996260136,0.9551572922269892
M3-Mild,0.2,0.8149245309634645,0.6956715751896475,162.9849061926929,243.462739848282,37.0150938073071,556.537260151718,406.4476460409749,0.4009985241156053,0.9376380304779949
M3-Mild,0.3,0.8149245309634645,0.6956715751896475,244.47735928903936,213.02989736724672,55.522640710960644,486.9701026327532,457.5072566562861,0.5343682657097375,0.8976527494750607
M3-Mild,0.5,0.8149245309634645,0.6956715751896475,407.46226548173223,152.16421240517624,92.53773451826774,347.8357875948237,559.6264778869084,0.7280968316943607,0.7898653532250668
M3-Balanced,0.05,0.8243757934828607,0.6861520154692845,41.21878967414304,298.1555853041797,8.781210325856964,651.8444146958202,339.37437497832275,0.12145522088040929,0.9867077358290957
M3-Balanced,0.1,0.8243757934828607,0.6861520154692845,82.43757934828608,282.46318607764397,17.56242065171393,617.536813922356,364.90076542593005,0.22591780330211392,0.972346966118622
M3-Balanced,0.15,0.8243757934828607,0.6861520154692845,123.6563690224291,266.77078685110814,26.343630977570893,583.2292131488919,390.42715587353723,0.3167207177117631,0.9567834570857201
M3-Balanced,0.2,0.8243757934828607,0.6861520154692845,164.87515869657216,251.0783876245724,35.12484130342786,548.9216123754276,415.9535463211446,0.39637877872371174,0.9398595076090615
M3-Balanced,0.3,0.8243757934828607,0.6861520154692845,247.3127380448582,219.69358917150083,52.687261955141786,480.3064108284991,467.00632721635907,0.5295704225657757,0.9011484288735089
M3-Balanced,0.5,0.8243757934828607,0.6861520154692845,412.18789674143034,156.92399226535775,87.81210325856964,343.07600773464225,569.111889006788,0.7242651308177362,0.7962067158080558
M3-High,0.05,0.8277613203554803,0.6784173731964896,41.38806601777402,305.50349546333484,8.611933982225983,644.4965045366652,346.89156148110885,0.1193112505852292,0.9868139293962332
M3-High,0.1,0.8277613203554803,0.6784173731964896,82.77613203554804,289.4243641231593,17.223867964451966,610.5756358768407,372.2004961587073,0.22239661926794443,0.972564699622945
M3-High,0.15,0.8277613203554803,0.6784173731964896,124.16419805332204,273.34523278298377,25.83580194667795,576.6547672170161,397.5094308363058,0.312355351650645,0.957118329698438
M3-High,0.2,0.8277613203554803,0.6784173731964896,165.5522640710961,257.2661014428083,34.44773592890393,542.7338985571918,422.8183655139044,0.3915446384876863,0.9403173388225092
M3-High,0.3,0.8277613203554803,0.6784173731964896,248.32839610664408,225.10783876245725,51.6716038933559,474.8921612375427,473.4362348691013,0.5245234264236313,0.9018701868319577
M3-High,0.5,0.8277613203554803,0.6784173731964896,413.88066017774014,160.7913134017552,86.11933982225983,339.2086865982448,574.6719735794953,0.7202033145966311,0.7975225367887769
