Model,Bin,Count,Minimum_Probability,Maximum_Probability,Mean_Predicted_Probability,Observed_Frequency
M2-Mild,9,1382,0.8527789215793476,0.9480022989475356,0.8865723248983519,0.8994211287988423
M2-Balanced,0,1382,0.0077143657602274,0.0872487945044463,0.050209991432136676,0.04630969609261939
M2-Balanced,1,1381,0.087269186884747,0.1911594260575325,0.1354507767651236,0.11078928312816799
M2-Balanced,2,1381,0.1915870095468966,0.3350715385070238,0.26244802661095606,0.2490948587979725
M2-Balanced,3,1381,0.3351258772573227,0.4665772989778415,0.4029560796738104,0.388124547429399
M2-Balanced,4,1381,0.4669199081243889,0.5765864050920844,0.5243848842951464,0.5133960897900073
M2-Balanced,5,1381,0.5768062969931192,0.6634143795157412,0.6228961878602204,0.6234612599565532
M2-Balanced,6,1381,0.6634936136697321,0.7331857199926989,0.699453191666894,0.6973207820419985
M2-Balanced,7,1381,0.7332117130876242,0.7933200567410423,0.7635631580260099,0.7856625633598842
M2-Balanced,8,1381,0.7933563184985211,0.8519051029763464,0.8230190059389807,0.8233164373642288
M2-Balanced,9,1382,0.8519227694108503,0.9521166163394515,0.8867226537582796,0.8950795947901592
M2-High,0,1382,0.0068186500782662,0.0918145594913292,0.05339973575741065,0.04341534008683068
M2-High,1,1381,0.0918712633409991,0.2003477604221577,0.1430270336134454,0.11513396089790007
M2-High,2,1381,0.2003509323659689,0.3488561522474759,0.27315244679069567,0.2512671976828385
M2-High,3,1381,0.3488725055554918,0.4742887966713201,0.4130430637387799,0.38667632150615494
M2-High,4,1381,0.4742971722299561,0.5841291846406987,0.5318962745880658,0.5155684286748733
M2-High,5,1381,0.5841457800648696,0.6673897274882086,0.6277166929738173,0.6176683562635771
M2-High,6,1381,0.6674635405019828,0.7317860634892694,0.7003503919803225,0.6987690079652426
M2-High,7,1381,0.731789972118564,0.793774004597557,0.7637479901477034,0.7842143374366402
M2-High,8,1381,0.7937907263607256,0.8513690790260755,0.823139469743163,0.8269370021723389
M2-High,9,1382,0.8513866584263288,0.951381340209524,0.8872252251657418,0.8929088277858177
M3-Mild,0,1382,0.0077816456964041,0.0796048378972214,0.046992854845095564,0.04052098408104197
M3-Mild,1,1381,0.0797333844561352,0.1822163529286509,0.1263094101325041,0.11078928312816799
M3-Mild,2,1381,0.1824401586935854,0.3290488750608128,0.2537610180064901,0.25850832729905865
M3-Mild,3,1381,0.3293391557782712,0.4627317010252153,0.3982868974888048,0.38015930485155686
M3-Mild,4,1381,0.4627785567253184,0.5716861932916641,0.5177961352047941,0.5148443157132513
M3-Mild,5,1381,0.5716871405985624,0.6596124748306273,0.6171205592708665,0.6176683562635771
M3-Mild,6,1381,0.659710634673945,0.7304061636104217,0.6962309441430485,0.7002172338884866
M3-Mild,7,1381,0.7304708138989638,0.7922145423874477,0.7607829232237068,0.7842143374366402
M3-Mild,8,1381,0.7922226224451087,0.8509451231903707,0.8220580561712351,0.832005792903693
M3-Mild,9,1382,0.8509676295460811,0.9672066457118824,0.8879741386802076,0.8936324167872648
M3-Balanced,0,1382,0.0076087843686531,0.0838802646085956,0.04998898386398229,0.04052098408104197
M3-Balanced,1,1381,0.0838809282345626,0.1898760315703858,0.13254162453421262,0.1165821868211441
M3-Balanced,2,1381,0.1899479347549221,0.3419887027764102,0.2638471145009918,0.2519913106444605
M3-Balanced,3,1381,0.3420522443735718,0.4710971249992059,0.40852539257883685,0.38450398262128893
M3-Balanced,4,1381,0.4711669725562459,0.5760467749933239,0.5259518878449434,0.5162925416364953
M3-Balanced,5,1381,0.5760594179918717,0.6625026105530974,0.6204476092415868,0.6198406951484432
M3-Balanced,6,1381,0.6625614021693272,0.7319938932697962,0.6991091174078427,0.6893555394641564
M3-Balanced,7,1381,0.7320013290834626,0.7920986618132857,0.7617270488441932,0.7892831281679942
M3-Balanced,8,1381,0.7921526401007953,0.851521880083366,0.8223580843934827,0.833454018826937
M3-Balanced,9,1382,0.8515738975463981,0.9641449035033702,0.887035307529494,0.8907380607814761
M3-High,0,1382,0.0092253108504032,0.0901548633012296,0.053796899869377135,0.0426917510853835
M3-High,1,1381,0.0902163983667519,0.1999934614671358,0.13924244076024683,0.11151339608979001
M3-High,2,1381,0.2000887009764459,0.3539137306791707,0.27523319020790377,0.2498189717595945
M3-High,3,1381,0.3540933446311789,0.4788724246966185,0.4184184223342203,0.38305575669804487
M3-High,4,1381,0.4789499468238053,0.5804986647833426,0.5316956727539386,0.5286024619840695
M3-High,5,1381,0.5805120561696254,0.6662216055686032,0.6254924446178427,0.6089790007241129
M3-High,6,1381,0.6662217627978922,0.732325075725236,0.7005402855559663,0.7045619116582187
M3-High,7,1381,0.7323727435061017,0.7923254672301041,0.7626827521404801,0.7863866763215062
M3-High,8,1381,0.7923285922701871,0.8505465008482067,0.8221475524976427,0.8233164373642288
M3-High,9,1382,0.8505497405175801,0.9829896381802558,0.8870780536417012,0.8936324167872648
