Strategy,Hypothetical_Decision_Threshold,Net_Benefit,TP,FP
Baseline,0.23,0.40873172584727757,6727.0,3621.0
M1-Interactions,0.23,0.4088652442258003,6739.0,3655.0
M2-Mild,0.23,0.40874677017161815,6775.0,3781.0
M2-Balanced,0.23,0.4084007507117846,6798.0,3874.0
M2-High,0.23,0.408002076116759,6814.0,3946.0
M3-Mild,0.23,0.40905988017195666,6785.0,3800.0
M3-Balanced,0.23,0.4089639726042854,6801.0,3858.0
M3-High,0.23,0.40834903584686383,6817.0,3940.0
Treat none,0.24,0.0,,
Treat all,0.24,0.35953861630618683,,
Baseline,0.24,0.4037755117594159,6698.0,3550.0
M1-Interactions,0.24,0.404129894675873,6713.0,3582.0
M2-Mild,0.24,0.40409178898593134,6751.0,3704.0
M2-Balanced,0.24,0.4041032206929139,6778.0,3789.0
M2-High,0.24,0.4034782873778713,6794.0,3867.0
M3-Mild,0.24,0.40489962961269377,6765.0,3713.0
M3-Balanced,0.24,0.404389013367476,6781.0,3786.0
M3-High,0.24,0.40425564345268034,6806.0,3871.0
Treat none,0.25,0.0,,
Treat all,0.25,0.3509991311902693,,
Baseline,0.25,0.39950767448595426,6674.0,3468.0
M1-Interactions,0.25,0.4000386137658075,6697.0,3515.0
M2-Mild,0.25,0.3995559416932136,6729.0,3631.0
M2-Balanced,0.25,0.39989381214402936,6761.0,3713.0
M2-High,0.25,0.39914567043150884,6779.0,3798.0
M3-Mild,0.25,0.3992663384496573,6730.0,3646.0
M3-Balanced,0.25,0.39991794574765904,6762.0,3715.0
M3-High,0.25,0.39999034655854815,6787.0,3787.0
Treat none,0.26,0.0,,
Treat all,0.26,0.34222884917932694,,
Baseline,0.26,0.3950246945468492,6657.0,3418.0
M1-Interactions,0.26,0.3949738183013596,6670.0,3457.0
M2-Mild,0.26,0.39410892212803594,6696.0,3565.0
M2-Balanced,0.26,0.3947683565407284,6729.0,3633.0
M2-High,0.26,0.39477814043409176,6759.0,3718.0
M3-Mild,0.26,0.39491902849852456,6710.0,3573.0
M3-Balanced,0.26,0.3945707218947879,6734.0,3655.0
M3-High,0.26,0.3949112013838339,6764.0,3727.0
Treat none,0.27,0.0,,
Treat all,0.27,0.33321828546945476,,
Baseline,0.27,0.3901461504588029,6627.0,3348.0
M1-Interactions,0.27,0.39056270306939767,6642.0,3373.0
M2-Mild,0.27,0.38970877021767847,6672.0,3486.0
M2-Balanced,0.27,0.3897385239755781,6702.0,3566.0
M2-High,0.27,0.38992398906648573,6736.0,3651.0
M3-Mild,0.27,0.3898922517247262,6686.0,3517.0
M3-Balanced,0.27,0.38925948847339414,6705.0,3592.0
M3-High,0.27,0.3895758700990602,6736.0,3664.0
Treat none,0.28,0.0,,
Treat all,0.28,0.3239574283231972,,
Baseline,0.28,0.3854096276989413,6600.0,3283.0
M1-Interactions,0.28,0.3855544293207195,6616.0,3319.0
M2-Mild,0.28,0.38527689287897804,6653.0,3424.0
M2-Balanced,0.28,0.38497924510087844,6680.0,3504.0
M2-High,0.28,0.38497924510087844,6708.0,3576.0
M3-Mild,0.28,0.3854739839752872,6667.0,3453.0
M3-Balanced,0.28,0.38393747787752996,6673.0,3523.0
M3-High,0.28,0.3852085143353605,6717.0,3591.0
Treat none,0.29,0.0,,
Treat all,0.29,0.31443570196155207,,
Baseline,0.29,0.380306163654385,6568.0,3220.0
M1-Interactions,0.29,0.3810250731146217,6591.0,3252.0
M2-Mild,0.29,0.38025721662730505,6629.0,3371.0
M2-Balanced,0.29,0.380148105546106,6652.0,3431.0
M2-High,0.29,0.3797208387888874,6680.0,3514.0
M3-Mild,0.29,0.38065899014125293,6637.0,3377.0
M3-Balanced,0.29,0.37946488662644856,6654.0,3459.0
M3-High,0.29,0.3792446250045888,6682.0,3535.0
Treat none,0.3,0.0,,
Treat all,0.3,0.3046419262752885,,
Baseline,0.3,0.37536717554093746,6544.0,3172.0
M1-Interactions,0.3,0.3759153531090977,6561.0,3194.0
M2-Mild,0.3,0.3755119771627156,6606.0,3312.0
M2-Balanced,0.3,0.37566712175747796,6630.0,3363.0
M2-High,0.3,0.37460179554011,6650.0,3444.0
M3-Mild,0.3,0.37621529932563813,6614.0,3308.0
M3-Balanced,0.3,0.3751292871623019,6632.0,3385.0
M3-High,0.3,0.37427082040461707,6657.0,3471.0
Treat none,0.31,0.0,,
Treat all,0.31,0.2945642730329014,,
Baseline,0.31,0.37043087926063034,6506.0,3093.0
M1-Interactions,0.31,0.3710121843219717,6532.0,3133.0
M2-Mild,0.31,0.37128919612015593,6583.0,3238.0
M2-Balanced,0.31,0.3703658234595416,6599.0,3302.0
M2-High,0.31,0.3698013069920296,6624.0,3375.0
M3-Mild,0.31,0.3715357785920245,6590.0,3246.0
M3-Balanced,0.31,0.37066382100001255,6613.0,3324.0
M3-High,0.31,0.3692168540693453,6633.0,3413.0
Treat none,0.32,0.0,,
Treat all,0.32,0.2841902182245617,,
Baseline,0.32,0.364938416722032,6473.0,3044.0
M1-Interactions,0.32,0.3662799611590944,6500.0,3062.0
M2-Mild,0.32,0.36578167322532834,6551.0,3185.0
M2-Balanced,0.32,0.365713531285668,6575.0,3238.0
M2-High,0.32,0.3650661828588951,6607.0,3325.0
M3-Mild,0.32,0.36578593209655713,6560.0,3204.0
M3-Balanced,0.32,0.36597332243062297,6596.0,3275.0
M3-High,0.32,0.3644401287882659,6612.0,3354.0
Treat none,0.33,0.0,,
Treat all,0.33,0.27350649013836115,,
Baseline,0.33,0.3590928934821981,6431.0,2987.0
M1-Interactions,0.33,0.3605819728464541,6456.0,2996.0
M2-Mild,0.33,0.3597509844349062,6512.0,3133.0
M2-Balanced,0.33,0.360821868070594,6546.0,3172.0
M2-High,0.33,0.3594927188557646,6570.0,3258.0
M3-Mild,0.33,0.36004491011493356,6520.0,3141.0
M3-Balanced,0.33,0.36073974177764523,6569.0,3221.0
M3-High,0.33,0.35972396920696253,6586.0,3284.0
Treat none,0.34,0.0,,
Treat all,0.34,0.26249901271621506,,
Baseline,0.34,0.35466743894198277,6406.0,2926.0
M1-Interactions,0.34,0.35563278308717056,6425.0,2937.0
M2-Mild,0.34,0.35400486182414936,6470.0,3068.0
M2-Balanced,0.34,0.3554287444383013,6518.0,3123.0
M2-High,0.34,0.35524883939306173,6549.0,3188.0
M3-Mild,0.34,0.3548890293025827,6492.0,3087.0
M3-Balanced,0.34,0.35470034840147785,6527.0,3160.0
M3-High,0.34,0.355139141194745,6565.0,3222.0
Treat none,0.35,0.0,,
Treat all,0.35,0.25115284368108,,
Baseline,0.35,0.34971262447370177,6367.0,2854.0
M1-Interactions,0.35,0.3503920782374301,6385.0,2870.0
M2-Mild,0.35,0.34887166120875934,6434.0,3000.0
M2-Balanced,0.35,0.3496235157833768,6481.0,3068.0
M2-High,0.35,0.34957896143821426,6517.0,3136.0
M3-Mild,0.35,0.3495344070930517,6462.0,3035.0
