Model,Split,TP,TN,FP,FN,Accuracy,AUC,Recall,Specificity,FPR,Precision,F1,Kappa,MCC
GlobalPositive-High,test,6066,4341,2382,1023,0.753475238922676,0.8308363519961782,0.8556919170545916,0.6456938866577421,0.3543061133422579,0.7180397727272727,0.78084572311257,0.504015869852027,0.5141913184139186
RawOOFFN-High,test,5942,4492,2231,1147,0.7554300608166812,0.8305093437390152,0.838200028212724,0.6681540978729734,0.33184590212702664,0.7270280190872385,0.7786659677630717,0.5084705276282251,0.5149162530114145
RandomTarget-Balanced-seed101,test,5767,4678,2045,1322,0.756226469736461,0.8304849204081626,0.8135138947665397,0.6958203183102781,0.30417968168972187,0.7382232462877624,0.7740420106033152,0.510752132291518,0.5135942477044168
RandomTarget-Balanced-seed211,test,5761,4672,2051,1328,0.7553576600057921,0.8306615594208624,0.8126675130483848,0.6949278595864942,0.3050721404135059,0.7374551971326165,0.7732366955237904,0.5090084511473237,0.5118408637264178
RandomTarget-Balanced-seed307,test,5763,4673,2050,1326,0.7555748624384593,0.8305983609049449,0.8129496402877698,0.6950766027071248,0.3049233972928752,0.7376167925252783,0.7734532277546639,0.5094424825711695,0.5122852454985438
RandomTarget-Balanced-seed401,test,5780,4682,2041,1309,0.7574572835215755,0.8308116349139235,0.815347721822542,0.6964152907928008,0.30358470920719915,0.7390359289093467,0.7753185781354796,0.5132054778886511,0.5161336036232423
RandomTarget-Balanced-seed503,test,5762,4682,2041,1327,0.756154068925572,0.8308049835428923,0.8128085766680773,0.6964152907928008,0.30358470920719915,0.7384339356657695,0.7738383024442653,0.5106237843525441,0.5133941188070692
RandomTarget-Balanced-seed601,test,5759,4684,2039,1330,0.7560816681146829,0.830989522370082,0.8123853858089999,0.6967127770340622,0.30328722296593785,0.7385226981277251,0.7736951702827971,0.5104879064835387,0.5132184330073423
RandomTarget-Balanced-seed701,test,5752,4681,2042,1337,0.7553576600057921,0.8307896979788665,0.8113979404711524,0.6962665476721701,0.30373345232782983,0.7380035925070567,0.7729624403682054,0.5090424783904308,0.511734310521106
RandomTarget-Balanced-seed809,test,5753,4680,2043,1336,0.7553576600057921,0.8307834347793308,0.811539004090845,0.6961178045515395,0.3038821954484605,0.7379425346331452,0.7729929459187102,0.5090386978185509,0.5117459685667242
RandomTarget-Balanced-seed907,test,5752,4681,2042,1337,0.7553576600057921,0.830744470754079,0.8113979404711524,0.6962665476721701,0.30373345232782983,0.7380035925070567,0.7729624403682054,0.5090424783904308,0.511734310521106
RandomTarget-Balanced-seed1009,test,5761,4676,2047,1328,0.7556472632493484,0.8307769407751222,0.8126675130483848,0.6955228320690168,0.3044771679309832,0.7378329918032787,0.7734443176478486,0.5095972312607977,0.5124012841923758
BaselineThreshold-MatchRecall-M3-Balanced,OOF,22919,18252,8985,5089,0.7452439134763327,0.8212807751066399,0.8183019137389317,0.6701178543892499,0.3298821456107501,0.7183738716148446,0.7650887969021232,0.4893832667052811,0.4943466776833158
BaselineThreshold-MatchRecall-M3-Balanced,test,5811,4605,2118,1278,0.7541268462206777,0.8309592345023108,0.8197206940330088,0.6849620705042392,0.3150379294957608,0.7328793038214151,0.7738713543747503,0.5063158307541126,0.5101335468152357
BaselineThreshold-MatchFPR-M3-Balanced,OOF,22948,18215,9022,5060,0.7450991039913114,0.8212807751066399,0.8193373321908026,0.6687594081580204,0.3312405918419797,0.7177979355645918,0.7652139117676482,0.4890759457231325,0.49420874806449394
BaselineThreshold-MatchFPR-M3-Balanced,test,5824,4600,2123,1265,0.7547060527077903,0.8309592345023108,0.8215545210890112,0.6842183549010858,0.31578164509891415,0.732855165471247,0.7746741154562383,0.5074446554025042,0.5114391433535157
BaselineThreshold-MatchRecall-M3-High,OOF,23097,18094,9143,4911,0.7456059371888859,0.8212807751066399,0.8246572407883462,0.6643169218342696,0.33568307816573045,0.716408188585608,0.7667308458372062,0.49002212178552895,0.4959043987236226
BaselineThreshold-MatchRecall-M3-High,test,5859,4571,2152,1230,0.7551404575731249,0.8309592345023108,0.826491747778248,0.6799048044027963,0.3200951955972036,0.7313693671202097,0.7760264900662251,0.5081956919451527,0.5128259406607732
BaselineThreshold-MatchFPR-M3-High,OOF,23167,18024,9213,4841,0.7456059371888859,0.8212807751066399,0.8271565267066553,0.6617468884238352,0.3382531115761648,0.7154725138974676,0.7672716433728556,0.48998596224076485,0.49627195139436653
BaselineThreshold-MatchFPR-M3-High,test,5877,4552,2171,1212,0.7550680567622358,0.8309592345023108,0.8290308929327127,0.6770786851108136,0.32292131488918635,0.7302435387673957,0.7765078945629913,0.507980123768397,0.5129944070492
