Comparison,Model,Metric,Baseline_Estimate,Candidate_Estimate,Difference_Candidate_Minus_Baseline,CI_95_Lower,CI_95_Upper,Bootstrap_Resamples,Bootstrap_Seed,CI_Method
M2-High vs Baseline,M2-High,AUC,0.8309592345023108,0.8298076555685918,-0.0011515789337189775,-0.001989218406739815,-0.00027776375692819226,5000,20260812,paired instance-level percentile bootstrap
M2-High vs Baseline,M2-High,Recall,0.800112850895754,0.8250811115813231,0.02496826068556912,0.021033415329946133,0.029312391898323038,5000,20260812,paired instance-level percentile bootstrap
M2-High vs Baseline,M2-High,Precision,0.7435762978500262,0.7306683322923173,-0.0129079655577089,-0.015845877401278824,-0.009948070760523403,5000,20260812,paired instance-level percentile bootstrap
M2-High vs Baseline,M2-High,F1,0.7708092681932459,0.7750099377235988,0.0042006695303529185,0.0013661661665914288,0.0071519924635425275,5000,20260812,paired instance-level percentile bootstrap
M2-High vs Baseline,M2-High,Kappa,0.5102272863462298,0.5061712548244464,-0.004056031521783465,-0.00997679405301415,0.002129022101221529,5000,20260812,paired instance-level percentile bootstrap
M2-High vs Baseline,M2-High,MCC,0.5117971737199274,0.5107222077839557,-0.0010749659359716723,-0.006975610384561529,0.005181451135415872,5000,20260812,paired instance-level percentile bootstrap
M3-Mild vs Baseline,M3-Mild,Accuracy,0.7557920648711266,0.7568780770344627,0.0010860121633361475,-0.0018824210831162036,0.00405444540978861,5000,20260812,paired instance-level percentile bootstrap
M3-Mild vs Baseline,M3-Mild,AUC,0.8309592345023108,0.8312147562575711,0.00025552175526033505,-0.0008277260119187058,0.0013177668484919368,5000,20260812,paired instance-level percentile bootstrap
M3-Mild vs Baseline,M3-Mild,Recall,0.800112850895754,0.8149245309634645,0.014811680067710498,0.01080220452149611,0.0189500789330208,5000,20260812,paired instance-level percentile bootstrap
M3-Mild vs Baseline,M3-Mild,Precision,0.7435762978500262,0.7384635050492139,-0.005112792800812338,-0.008107347893653352,-0.002220810789306971,5000,20260812,paired instance-level percentile bootstrap
M3-Mild vs Baseline,M3-Mild,F1,0.7708092681932459,0.7748122317596566,0.004002963566410722,0.0011716628155786502,0.006903454668397227,5000,20260812,paired instance-level percentile bootstrap
M3-Mild vs Baseline,M3-Mild,Kappa,0.5102272863462298,0.5120392256500654,0.001811939303835608,-0.004206838834561624,0.007850929638159537,5000,20260812,paired instance-level percentile bootstrap
M3-Mild vs Baseline,M3-Mild,MCC,0.5117971737199274,0.5149768668636253,0.003179693143697926,-0.002844483606087922,0.009267385969959201,5000,20260812,paired instance-level percentile bootstrap
M3-Balanced vs Baseline,M3-Balanced,Accuracy,0.7557920648711266,0.7570952794671301,0.0013032145960034658,-0.0019548218940051987,0.00456125108601213,5000,20260812,paired instance-level percentile bootstrap
M3-Balanced vs Baseline,M3-Balanced,AUC,0.8309592345023108,0.8307491812676324,-0.00021005323467837567,-0.0012771078680636817,0.0008385069238867698,5000,20260812,paired instance-level percentile bootstrap
M3-Balanced vs Baseline,M3-Balanced,Recall,0.800112850895754,0.8243757934828607,0.024262942587106706,0.020019727550574087,0.028641171085245724,5000,20260812,paired instance-level percentile bootstrap
M3-Balanced vs Baseline,M3-Balanced,Precision,0.7435762978500262,0.7347246668342972,-0.008851631015729056,-0.011985069054365116,-0.005756388243786507,5000,20260812,paired instance-level percentile bootstrap
M3-Balanced vs Baseline,M3-Balanced,F1,0.7708092681932459,0.7769726783221432,0.0061634101288973175,0.003134802506845871,0.009265784487718953,5000,20260812,paired instance-level percentile bootstrap
M3-Balanced vs Baseline,M3-Balanced,Kappa,0.5102272863462298,0.5122291186308885,0.0020018322846586667,-0.004453968782628076,0.008519697974371609,5000,20260812,paired instance-level percentile bootstrap
M3-Balanced vs Baseline,M3-Balanced,MCC,0.5117971737199274,0.5163283486278881,0.004531174907960733,-0.0019417151034002652,0.011036673841060229,5000,20260812,paired instance-level percentile bootstrap
M3-High vs Baseline,M3-High,Accuracy,0.7557920648711266,0.7550680567622358,-0.000724008108890839,-0.004199247031566711,0.0026788300028960377,5000,20260812,paired instance-level percentile bootstrap
M3-High vs Baseline,M3-High,AUC,0.8309592345023108,0.8299440506392167,-0.0010151838630940713,-0.0022118135179646226,0.00019576457823587364,5000,20260812,paired instance-level percentile bootstrap
M3-High vs Baseline,M3-High,Recall,0.800112850895754,0.8277613203554803,0.02764846945972632,0.022861029609116977,0.03245395129505935,5000,20260812,paired instance-level percentile bootstrap
M3-High vs Baseline,M3-High,Precision,0.7435762978500262,0.7307596513075965,-0.012816646542429755,-0.0162734392341327,-0.009433130910827819,5000,20260812,paired instance-level percentile bootstrap
M3-High vs Baseline,M3-High,F1,0.7708092681932459,0.7762418149348502,0.005432546741604316,0.0021798904656979644,0.008755167509870534,5000,20260812,paired instance-level percentile bootstrap
M3-High vs Baseline,M3-High,Kappa,0.5102272863462298,0.5080142532892692,-0.002213033056960634,-0.009069402817562333,0.004590459111393913,5000,20260812,paired instance-level percentile bootstrap
M3-High vs Baseline,M3-High,MCC,0.5117971737199274,0.5128390512346186,0.001041877514691203,-0.005811223512600855,0.007929656788228939,5000,20260812,paired instance-level percentile bootstrap
